NAME,total_population,zipcode,zipcode_str
ZCTA5 93536,68575.0,93536,93536
ZCTA5 93591,6557.0,93591,93591
ZCTA5 92397,4638.0,92397,92397
ZCTA5 91724,27510.0,91724,91724
ZCTA5 91103,26837.0,91103,91103
ZCTA5 91008,1079.0,91008,91008
ZCTA5 91046,191.0,91046,91046
ZCTA5 91210,352.0,91210,91210
ZCTA5 91330,3136.0,91330,91330
ZCTA5 91387,41145.0,91387,91387
ZCTA5 91390,19093.0,91390,91390
ZCTA5 93552,39776.0,93552,93552
ZCTA5 90250,95115.0,90250,90250
ZCTA5 90601,30623.0,90601,90601
ZCTA5 90254,19147.0,90254,90254
ZCTA5 90710,28566.0,90710,90710
ZCTA5 90073,962.0,90073,90073
ZCTA5 90089,3740.0,90089,90089
ZCTA5 90094,9065.0,90094,90094
ZCTA5 90095,0.0,90095,90095
ZCTA5 90506,0.0,90506,90506
ZCTA5 90747,0.0,90747,90747
ZCTA5 90755,11458.0,90755,90755
ZCTA5 90831,0.0,90831,90831
ZCTA5 91502,11218.0,91502,91502
ZCTA5 91602,20339.0,91602,91602
ZCTA5 91706,76581.0,91706,91706
ZCTA5 91710,90481.0,91710,91710
ZCTA5 91711,36217.0,91711,91711
ZCTA5 91001,36697.0,91001,91001
ZCTA5 91354,33039.0,91354,91354
ZCTA5 91010,26516.0,91010,91010
ZCTA5 91203,15794.0,91203,91203
ZCTA5 91340,37221.0,91340,91340
ZCTA5 91362,37085.0,91362,91362
ZCTA5 91364,28395.0,91364,91364
ZCTA5 91202,23399.0,91202,91202
ZCTA5 91207,11318.0,91207,91207
ZCTA5 91208,15146.0,91208,91208
ZCTA5 91214,31668.0,91214,91214
ZCTA5 91307,25794.0,91307,91307
ZCTA5 91311,41811.0,91311,91311
ZCTA5 91344,55694.0,91344,91344
ZCTA5 91775,24517.0,91775,91775
ZCTA5 91790,44601.0,91790,91790
ZCTA5 91020,8785.0,91020,91020
ZCTA5 91030,25478.0,91030,91030
ZCTA5 91104,37784.0,91104,91104
ZCTA5 91205,37549.0,91205,91205
ZCTA5 91007,33827.0,91007,91007
ZCTA5 91042,26617.0,91042,91042
ZCTA5 91206,33781.0,91206,91206
ZCTA5 91301,26021.0,91301,91301
ZCTA5 91321,34340.0,91321,91321
ZCTA5 91350,38611.0,91350,91350
ZCTA5 91351,30746.0,91351,91351
ZCTA5 91361,19953.0,91361,91361
ZCTA5 91601,35312.0,91601,91601
ZCTA5 91606,45003.0,91606,91606
ZCTA5 91732,61075.0,91732,91732
ZCTA5 91755,27254.0,91755,91755
ZCTA5 91801,54161.0,91801,91801
ZCTA5 91803,30093.0,91803,91803
ZCTA5 92821,39140.0,92821,92821
ZCTA5 92823,4996.0,92823,92823
ZCTA5 91789,43531.0,91789,91789
ZCTA5 91791,33314.0,91791,91791
ZCTA5 91040,20606.0,91040,91040
ZCTA5 91352,46027.0,91352,91352
ZCTA5 91101,21920.0,91101,91101
