,Zip Code,City Tax Rate Area,AIN,Roll Year,Tax Rate Area Code,Assessor ID,Property Location,Property Use Type,Property Use Code,Use Code 1st Digit,Use Code 2nd Digit,Use Code 3rd Digit,Use Code 4th Digit,Number of Buildings,Year Built,Effective Year,Square Footage,Number of Bedrooms,Number of Bathrooms,Number of Units,Recording Date,Land Value,Land Base Year,Improvement Value,Improvement Base Year,"Total Value, Land + Improvement",Home Owners Exemption,Real Estate Exemption,Fixture Value,Fixture Exemption,Personal Property Value,Personal Property Exemption,Property taxable?,Total Value,Total Exemption,Taxable Value,Classification,Region Number,Cluster Code,Parcel Legal Description,Address House Number,Address House Number Fraction,Direction,Street,Unit Number,City,Zip Code.1,Row ID,Location Latitude,Location Longitude,OBJECTID
0,91304-2248,LOS ANGELES,2004013020,2021,16,2004-013-020,8418 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1959,1594,3,3,1,3/21/1997 8:00:00 AM,144287,1997,135556,1997,279843,7000,0,0,0,0,0,Y,279843,7000,272843, ,2,2121,TRACT # 18993 LOT   22,8418, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013020,34.22363245,-118.62113521,47837643
1,91304-2248,LOS ANGELES,2004013021,2021,16,2004-013-021,8428 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1959,1685,3,3,1,5/20/2013 7:00:00 AM,417742,2013,207958,2013,625700,7000,0,0,0,0,0,Y,625700,7000,618700, ,2,2121,TRACT # 18993 LOT   23,8428, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013021,34.22388662,-118.62113584,47837644
2,91304-2248,LOS ANGELES,2004013022,2021,16,2004-013-022,8438 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1960,2153,4,3,1,11/6/2003 8:00:00 AM,29414,1975,100383,1975,129797,7000,0,0,0,0,0,Y,129797,7000,122797, ,2,2121,TRACT # 18993 LOT   24,8438, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013022,34.2241408,-118.62113648,47837645
3,91304-2248,LOS ANGELES,2004013023,2021,16,2004-013-023,8446 PONCE AVE  LOS ANGELES CA  91304,SFR,0101,Residential,Single Family Residence, ,Pool,1,1959,1970,1678,3,3,1,2/10/2015 8:00:00 AM,29414,1975,75166,1975,104580,7000,0,0,0,0,0,Y,104580,7000,97580, ,2,2121,TRACT # 18993 LOT   25,8446, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013023,34.22439498,-118.62113713,47837646
4,91304-2249,LOS ANGELES,2004013024,2021,16,2004-013-024,8500 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1959,1594,3,3,1,1/27/2009 8:00:00 AM,387479,2009,135975,2009,523454,0,0,0,0,0,0,Y,523454,0,523454, ,2,2121,TRACT # 18993 LOT   26,8500, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013024,34.22464914,-118.62113777,47837647
5,91304-2249,LOS ANGELES,2004013025,2021,16,2004-013-025,8510 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1971,2447,4,4,1,4/21/2020 7:00:00 AM,599749,2020,238849,2020,838598,0,0,0,0,0,0,Y,838598,0,838598, ,2,2121,TRACT # 18993 LOT   27,8510, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013025,34.22490331,-118.62113842,47837648
6,91304-2249,LOS ANGELES,2004013026,2021,16,2004-013-026,8518 PONCE AVE  LOS ANGELES CA  91304,SFR,0101,Residential,Single Family Residence, ,Pool,1,1959,1960,1594,3,3,1,9/3/2003 7:00:00 AM,29414,1975,70191,1975,99605,7000,0,0,0,0,0,Y,99605,7000,92605, ,2,2121,TRACT # 18993 LOT   28,8518, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013026,34.2251575,-118.62113906,47837649
7,91304-2249,LOS ANGELES,2004013027,2021,16,2004-013-027,8526 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1959,1685,3,3,1,1/13/2020 8:00:00 AM,29414,1975,62489,1975,91903,0,0,0,0,0,0,Y,91903,0,91903, ,2,2121,TRACT # 18993 LOT   29,8526, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013027,34.22541167,-118.62113969,47837650
8,91304-2249,LOS ANGELES,2004013028,2021,16,2004-013-028,8534 PONCE AVE  LOS ANGELES CA  91304,SFR,0100,Residential,Single Family Residence, , ,1,1959,1978,2126,3,3,1,8/22/2019 7:00:00 AM,526324,2018,270333,2018,796657,0,0,0,0,0,0,Y,796657,0,796657, ,2,2121,TRACT # 18993 LOT   30,8534, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013028,34.22566583,-118.62114034,47837651
9,91304-2249,LOS ANGELES,2004013029,2021,16,2004-013-029,8542 PONCE AVE  LOS ANGELES CA  91304,SFR,0101,Residential,Single Family Residence, ,Pool,1,1959,1964,2481,4,4,1,10/22/2019 7:00:00 AM,547817,2020,316040,2020,863857,0,0,0,0,0,0,Y,863857,0,863857, ,2,2121,TRACT # 18993 LOT   31,8542, , ,PONCE AVE, ,LOS ANGELES CA,91304.0,20212004013029,34.22592001,-118.62114099,47837652
